,conversation_id,message_id,user_message,user_action,shop_message,shop_action
78375,13458,t_10212525870620498,Vâng,agree,,
75390,13071,t_10213299608804498,Get Started,handoff,,
75391,13071,t_10213299608804498,c đk được tặng KT ở chi nhánh Láng size L. giờ có chưa e để c qua,handoff,,
75392,13071,t_10213299608804498,,,"- Láng: 828 Láng, Đống Đa : 0961 327 166: Chị vui lòng liên hệ trực tiếp cửa hàng để được hỗ trợ giúp em ạ",handoff
75393,13071,t_10213299608804498,🌻,icon,,
132630,22141,t_10213752561687307,b ui,greet,,
132631,22141,t_10213752561687307,hqua mình có mua bộ đồ bơi ở cửa hàng ở đường nguyễn văn lộc,handoff,,
132632,22141,t_10213752561687307,mình muốn tìm ảnh mẫu mặc,handoff,,
132633,22141,t_10213752561687307,đồ bơi bé gái ý b,inform,,
132634,22141,t_10213752561687307,,,Dạ đồ bơi bên em không chụp mẫu chị ạ. Mong chị thông cảm giúp em,handoff
132635,22141,t_10213752561687307,uh tại vì hqua mình đc bạn bán hàng tư vấn mua cho bé sz 12m,handoff,,
132636,22141,t_10213752561687307,mà giờ bé mặc bị phưỡn bụng ý,handoff,,
132637,22141,t_10213752561687307,k biết di kiểu là thế hay là bị chật nữa,handoff,,
132638,22141,t_10213752561687307,,,Dạ đồ bơi mặc sẽ hơi ôm người chị ạ.,handoff
132639,22141,t_10213752561687307,,,,
132640,22141,t_10213752561687307,Đây b này,agree,,
132641,22141,t_10213752561687307,😂😂,icon,,
132642,22141,t_10213752561687307,Mình mang tặng mà ngại quá,handoff,,
132643,22141,t_10213752561687307,,,"Chị ơi, mẫu này dạng ngắn trên rốn chị ạ",handoff
132644,22141,t_10213752561687307,À thế à,agree,,
132645,22141,t_10213752561687307,Uh t cảm ơn nhớ,thank,,
132646,22142,t_10213752561687307,,,Nguyễn Thu Hương đã trả lời một quảng cáo.,handoff
132647,22142,t_10213752561687307,,,Chào Nguyễn! Chúng tôi có thể giúp gì cho bạn?,handoff
132648,22142,t_10213752561687307,,,,
132649,22142,t_10213752561687307,Mình muốn hỏi quần jean túi hộp bé trai kia kìa,handoff,,
132650,22142,t_10213752561687307,Có sz cho bé 3y k,ask_if_sells#size,,
132651,22142,t_10213752561687307,"Bnhieu
Tiêbfp",request#price,,
132652,22142,t_10213752561687307,,,"K's Closet chào chị ạ. Sản phẩm B001TEF-DK1ATRA01 ÁO DÀI TAY TRẺ EM có giá 139,000đ sale 10% còn 125,100đ. Sản phẩm B073TEF-FT2BEXAN01 QUẦN JOGGER BÉ TRAI có giá 269,000đ sale 10% còn 242,100đ. Bên em có size cho bé từ 1-4 tuổi, mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",handoff
132653,22142,t_10213752561687307,Uki mình came ơn nhé,thank,,
115061,19028,t_10214525693690642,Bạn ơi,greet,,
115062,19028,t_10214525693690642,Giá sản phẩm là bao nhiêu?,request#price,,
115063,19028,t_10214525693690642,Giá 2 áo phông này là bao nhiêu,request#price,,
115064,19028,t_10214525693690642,,,,
115065,19028,t_10214525693690642,,,"K's Closet chào chị ạ. Sản phẩm B023TES-BK ÁO PHÔNG CỘC TAY có giá 129,000đ. QUẦN SOOC BÉ TRAI- B051TES có giá 269.000đ. Mời chị ghé cửa hàng hoặc truy cập shopee xem và sắm đồ cho bé ạ",handoff
115066,19028,t_10214525693690642,👍,icon,,
115067,19028,t_10214525693690642,"Cảm ơn em, chị đã qua cửa hàng mình mua rồi",thank,,
115068,19028,t_10214525693690642,,,Dạ em cảm ơn chị ạ,thank
143662,23849,t_10215447146119360,Get Started,handoff,,
143663,23849,t_10215447146119360,shop có sẵn mẫu áo dài nào cho bé gái 8 tuổi ko,handoff,,
143664,23849,t_10215447146119360,,,Tất cả các mẫu áo dài bên em đều có mặt tại cửa hàng rồi ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,handoff
143665,23849,t_10215447146119360,m ở keangnam,handoff,,
143666,23849,t_10215447146119360,bên b cửa hàng nào gần keangnam nhất mà có nhiều mẫu nhất,handoff,,
143667,23849,t_10215447146119360,bạn nhà m 1m40 nặng 35kg có sz ko,ask_if_sells#size,,
143668,23849,t_10215447146119360,,,Dạ bên em có cửa hàng tại TTTM The Garden có nhiều mẫu nha chị,handoff
143669,23849,t_10215447146119360,👍👍,icon,,
143670,23849,t_10215447146119360,,,- TTTM The Garden: Tầng 2 - ĐT: 0354.612.041,handoff
143671,23849,t_10215447146119360,,,Em gửi chị ạ,handoff
143672,23849,t_10215447146119360,cảm ơn ad,thank,,
143673,23849,t_10215447146119360,m chạy qua luôn,handoff,,
143674,23849,t_10215447146119360,,,Dạ vâng ạ.,agree
143675,23850,t_10215447146119360,shop ơi có bộ halloween nào cho bé gái 40kg ko,handoff,,
143676,23850,t_10215447146119360,,,Dạ bên em có size lớn nhất cho bé 30kg thôi ạ.,ask_if_sells#size
143677,23850,t_10215447146119360,:(,greet,,
138673,23204,t_10216581242183396,Cho c giá set này nhé,request#price,,
138674,23204,t_10216581242183396,Mà bên e bán onl chưa vậy,handoff,,
138675,23204,t_10216581242183396,,,"K's Closet chào chị ạ. Sản phẩm K196tef SÉT ÁO KÈM CHÂN VÁY PONY có giá 479,000đ sale 40% còn 287,400đ. Bên em có size cho bé từ 2-10 tuổi ạ",ask_if_sells#size
138676,23204,t_10216581242183396,Có cài luôn không em,handoff,,
138677,23204,t_10216581242183396,,,Sản phẩm kèm bờm chị ạ,handoff
138678,23204,t_10216581242183396,Bờm nhiu vậy em,request#price,,
138679,23204,t_10216581242183396,,,Bờm đi kèm với sản phẩm rồi ạ,handoff
138680,23204,t_10216581242183396,Ah sr em c đọc ko rõ,handoff,,
138681,23204,t_10216581242183396,Áo có dày lắm ko em,handoff,,
138682,23204,t_10216581242183396,,,"Dạ áo chất cotton ko dày lắm đâu ạ,thích hợp mặc cho mùa này lắm a",handoff
138683,23204,t_10216581242183396,Con c cao 1m1 19kg thì sz gì vậy em,ask_availability#size,,
138684,23204,t_10216581242183396,,,Dạ bé mặc size 6t bên em ạ,handoff
138685,23204,t_10216581242183396,Con c ốm lắm em,inform,,
138686,23204,t_10216581242183396,😁😁😁,icon,,
138687,23204,t_10216581242183396,Trvia cao thôi,inform,,
138688,23204,t_10216581242183396,Sz 6t c lo rộng quá í,ask_if_sells#size,,
138689,23204,t_10216581242183396,C định mặc liền halloween này,handoff,,
138690,23204,t_10216581242183396,,,ko rộng đâu c ạ,handoff
138691,23204,t_10216581242183396,Uki e nè,agree,,
138692,23204,t_10216581242183396,,,Chị đặt bộ pony size 6t phải ko ạ,ask_availability#size
138693,23204,t_10216581242183396,C mua bên shopee dc hem,handoff,,
138694,23204,t_10216581242183396,C mới bít bên e có bên đó,handoff,,
138695,23204,t_10216581242183396,,,Dạ được chị ạ. Chị ghé shopee giúp em ạ,handoff
138696,23204,t_10216581242183396,Cảm ơn em đã tư vấn nhe.,thank,,
138697,23204,t_10216581242183396,,,Dạ em cảm ơn chị ạ,thank
6866,1216,t_10222457357517871,Oki em nhé,agree,,
6867,1217,t_10222457357517871,,,,
6868,1217,t_10222457357517871,Shop ơi,greet,,
6869,1217,t_10222457357517871,Bên mình còn bộ này cho bé sz 8y ko bạn,ask_availability#size,,
6870,1217,t_10222457357517871,Cả mũ nha,inform,,
6871,1217,t_10222457357517871,,,"Chị ở khu vực nào ạ,em gửi chị số điện thoại cửa hàng gần mình rồi chị gọi trực tiếp cho các bạn để các bạn check cho chị ạ",handoff
6872,1217,t_10222457357517871,Chị ở trần hưng đạo em ạ,handoff,,
6873,1217,t_10222457357517871,,,"""280 Lạc Trung - Hai Bà Trưng - ĐT: 
982.365.280
Số 9 Hàng Da - Hoàn Kiếm - ĐT: 
982.648.309
TTTM The Garden: Tầng 2, D2-27 - ĐT: 
354.612.041
166D Nguyễn Văn Cừ, Long Biên - ĐT: ‎0968 895 933 TTTM Savico - Long Biên: 219 Tầng 2 - ĐT: 
374.614.998
169 Thái Hà- ĐT: 
0376.74.88.28
TTTM lotte: Tầng 5: 
399.963.324
Hiện tại ngày sale bên em check tồn kho không chính xác, chị vui lòng liên hệ trực tiếp cửa hàng để được hỗ trợ giúp em ạ",handoff
6874,1217,t_10222457357517871,C cảm ơn nha,thank,,
6875,1217,t_10222457357517871,Hixx,handoff,,
6876,1217,t_10222457357517871,C gọi cho 2 cửa hadng ở thái hà vs hàng da,handoff,,
6877,1217,t_10222457357517871,Đều ko dc em ạ,handoff,,
6878,1217,t_10222457357517871,Thuê bao ko liên lạc dc,handoff,,
6879,1217,t_10222457357517871,,,Dạ chị nhắn zalo cho các bạn giúp em ạ. Số trên các bạn dùng zalo nữa ạ,handoff
6880,1217,t_10222457357517871,Oki em,agree,,
6881,1217,t_10222457357517871,C gửi fb nha,handoff,,
6882,1217,t_10222457357517871,,,,
6883,1217,t_10222457357517871,Ko mua dc mũ ko thì đủ bộ hơn rùi,handoff,,
6884,1217,t_10222457357517871,C vẽ mặt theo như clip hướng dẫn c bên em í,handoff,,
6885,1217,t_10222457357517871,😬,icon,,
6886,1217,t_10222457357517871,,,Dạ bé đáng yêu quá ạ.  K's Closet cảm ơn chị đã tin dùng sản phẩm của K's Closet ạ. Chúc bé và gia đình có đêm halloween tràn ngập niềm vui ạ,handoff
6887,1217,t_10222457357517871,Tks em nha,thank,,
6888,1217,t_10222457357517871,Em bé còn bộ unicorn nữa mà c chưa kịp chụp,handoff,,
6889,1217,t_10222457357517871,Để c lấy ảnh ở trường xem có ko gửi e nha 😬,handoff,,
6890,1217,t_10222457357517871,,,💞💞💞,icon
127929,21349,t_10223788792124598,,,,
127930,21349,t_10223788792124598,Mẫu quần này còn sz 5 k b,ask_availability#size,,
127931,21349,t_10223788792124598,,,"Dạ bên em hết sản phẩm chị quan tâm. Còn nhiều sản phẩm có size của bé, https://bit.ly/ksclosetvnshopee chị vui lòng tham khảo mẫu khác giúp em ạ",handoff
127932,21349,t_10223788792124598,,,,
127933,21349,t_10223788792124598,,,Ng Le Hong đã trả lời về một bài viết. Xem bài viết(https://www.facebook.com/ksclosetvn/posts/3651136301572076),handoff
127934,21349,t_10223788792124598,Mẫu này còn sz6 k b,handoff,,
127935,21349,t_10223788792124598,,,Chị cho em xin chiều cao cân nặng của bé em check size cho chị ạ,handoff
127936,21349,t_10223788792124598,Bé mặc sz 6 b ah,inform,,
127937,21349,t_10223788792124598,,,"K's Closet chào chị ạ. Sản phẩm áo bên em hết hàng. Quần K054NIF-FT2BENHAT06	QUẦN JEAN BÉ GÁI có giá	 299,000đ sale 50% còn 149,500đ. Bên em có size cho bé từ 3-9 tuổi, mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",handoff
127938,21349,t_10223788792124598,Quần có trên shopee k b,handoff,,
127939,21349,t_10223788792124598,,,Dạ quần bên em còn tại Savico và quảng trị thôi chị ạ,handoff
127940,21349,t_10223788792124598,😞,icon,,
147002,24412,t_10224007309716235,Bắt đầu,handoff,,
147003,24412,t_10224007309716235,quần này sale còn bn shop,request#price,,
147004,24412,t_10224007309716235,,,Chị cho em xin hình ảnh em hỗ trợ chị ạ,handoff
147005,24412,t_10224007309716235,,,,
147006,24412,t_10224007309716235,,,"""K's Closet chòa chị ạ,sản phẩm B002TEF-DK1AK ÁO DÀI TAY TRẺ EM có giá  109.000đ sale còn 89.000đ.Sản phẩm B003TEF-BK2AE QUẦN JOGGER BÉ TRAI có giá 159.000đ sale còn 129.000đ ạ.Mời chị ghé cửa hàng xem và sắm đồ cho bé chị nha	""",handoff
147007,24412,t_10224007309716235,👍,icon,,
9249,1594,t_10224623071990162,Bắt đầu,handoff,,
9250,1594,t_10224623071990162,xin mẫu quần baggy bé trai với ạ!,handoff,,
9251,1594,t_10224623071990162,lưng thun ạ.,handoff,,
9252,1594,t_10224623071990162,,,Chị cho em xin chiều cao và cân nặng cụ thể của bé để em check size phù hợp với bé nhé,handoff
9253,1594,t_10224623071990162,size 1m4 nhé,inform,,
9254,1594,t_10224623071990162,size 10 tuổi,inform,,
9255,1594,t_10224623071990162,,,,
9256,1594,t_10224623071990162,quần jean này bên cửa hàng còn size ko ạ?,ask_availability#size,,
9257,1594,t_10224623071990162,,,Bé nặng bao nhiêu kg ạ?,request#price
9258,1594,t_10224623071990162,"chị lâu rồi cũng không cân nhưng mập, chị vẫn lấy size 10 t bên mình là mang vừa",handoff,,
9259,1594,t_10224623071990162,,,Dạ mẫu trên bên em có size lớn nhất cho bạn 30kg thôi chị ạ,ask_if_sells#size
9260,1594,t_10224623071990162,😁,icon,,
12424,1977,t_10225456532099746,,,"""Daạ sản phẩm chị quan tâm có giá 599.000đ sale 40% còn 359.400đ.Bên em có size 2-10t.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ	""",handoff
12425,1977,t_10225456532099746,Tại cửa hàng Tiến Thọ Đường Láng còn mã sp này ko em?,handoff,,
12426,1977,t_10225456532099746,,,Dạ Láng bên em đang đóng cửa sửa chữa ạ,handoff
12427,1977,t_10225456532099746,,,Chị có thể qua Thái Hà chị nhé,handoff
12428,1977,t_10225456532099746,👍,icon,,
27901,4653,t_1062176810581098,,,,
27902,4653,t_1062176810581098,,,0916957390 : Hotline shopee chị vui lòng liên hệ trực tiếp để được hỗ trợ giúp em ạ,handoff
27903,4654,t_1062176810581098,,,K's Closet chào chị ạ.Chị đang quan tâm đến sản phẩm cho bé trai hay bé gái để bên em tư vấn cho chị ạ,handoff
27904,4654,t_1062176810581098,C hỏi chương trình bjo kết thúc để t2 c qua cửa hàng chọn,handoff,,
27905,4654,t_1062176810581098,,,Dạ nốt ngày mai bên em hết chương trình rồi chị ạ,handoff
27906,4654,t_1062176810581098,,,,
27907,4654,t_1062176810581098,Bộ đỏ này còn size j vạy shop??,ask_availability#size,,
27908,4654,t_1062176810581098,,,Chị cho em xin chiều cao cân nặng của bé em check size cho chị ạ,handoff
27909,4654,t_1062176810581098,Có size 9t c lấy size 9t,ask_if_sells#size,,
27910,4654,t_1062176810581098,Cho c xem mẫu shoc bò nữa,handoff,,
27911,4654,t_1062176810581098,,,"Dạ,mẫu chị quan tâm bên em hết hàng mất rồi ạ",handoff
27912,4654,t_1062176810581098,😂😂,icon,,
27913,4655,t_1062176810581098,,,K's Closet chào chị ạ. Hôm trước chị có tham gia minigame và trả lời đúng và nhanh nhất đúng. Chị vui lòng để lại SĐT và địa chỉ nhận quà bên em gửi quà tặng cho bé ạ,handoff
27914,4655,t_1062176810581098,,,Dạ K's Closet chào chị ạ. Hôm trước chị trả lời đúng minigame bên em và nhận phần quà. Chị vui lòng để lại thông tin SĐT và địa chỉ bên em gửi quà tặng đến chị ạ,handoff
27915,4655,t_1062176810581098,0972086710,handoff,,
27916,4655,t_1062176810581098,Ngô thị giang,handoff,,
27917,4655,t_1062176810581098,60b nguyễn huy tưởng tx hn,handoff,,
27918,4655,t_1062176810581098,,,Dạ bên em có thỏ bông và chú cuội. Chị lấy loại nào ạ,handoff
27919,4655,t_1062176810581098,"Cho c xem
Hình ảnh đc ko??",handoff,,
27920,4655,t_1062176810581098,,,,
27921,4655,t_1062176810581098,,,,
27922,4655,t_1062176810581098,,,Em không có ảnh rời sản phẩm chị nhìn tạm giúp em ạ,handoff
27923,4655,t_1062176810581098,,,Chị chọn và báo lại em muộn nhất là 17h hôm nay nha,handoff
27924,4655,t_1062176810581098,Cho c thỏ bông nhé,handoff,,
27925,4655,t_1062176810581098,,,Vâng ạ,agree
545,68,t_1064547987210539,Bắt đầu,handoff,,
546,68,t_1064547987210539,Váy này còn cho bé 8tuổi ko shop,handoff,,
547,68,t_1064547987210539,,,,
548,68,t_1064547987210539,,,Bé nhà c bao nhiêu kg rồi ạ?,request#price
549,69,t_1064547987210539,,,Da sản phẩm chị quan tâm bên em có size lớn nhất cho bé 30kg thôi ạ,ask_if_sells#size
550,69,t_1064547987210539,,,Dạ sản phẩm chị quan tâm bên em có size lớn nhất cho bé 30kg ạ.Còn nhiều sản phẩm có size của bé chị tham khảo các mẫu khác chị nha,handoff
551,69,t_1064547987210539,😭😭😭,icon,,
552,69,t_1064547987210539,Có áo gió nào cho size bé lớn ko shop,ask_if_sells#size,,
553,69,t_1064547987210539,,,Dạ em báo nhầm áo ạ,handoff
554,69,t_1064547987210539,,,"Sản phẩm T156NIF-FT1PAHON10 ÁO GIÓ BÉ GÁI có giá 459,000đ sale 50% còn 229,500đ. Bên em có size cho bé từ 10-14 tuổi, mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",handoff
555,69,t_1064547987210539,Có mấy lớp hả shop,handoff,,
556,69,t_1064547987210539,Cho mình một cái size 13 và một cái size 14 shop nhé,inform,,
557,69,t_1064547987210539,,,"Dạ bên em có size 12, 14 ở Lào Cai chị ạ. Bên em không có size 13, mong chị thông cảm giúp em ạ",handoff
558,69,t_1064547987210539,Thế thì mình lấy 12 và 14,handoff,,
559,69,t_1064547987210539,,,"Chị cho em xin tên người nhận, số điện thoại, địa chỉ chi tiết (số nhà, đường phố, phường/xã, quận/huyện, tỉnh/thành phố) để em check giá ship và báo chị ạ.",handoff
560,69,t_1064547987210539,"Số nhà 182 ngõ 467 đường Lĩnh Nam, Hoàng Mai, Hà Nội",handoff,,
561,69,t_1064547987210539,Sdt 0366873255,handoff,,
562,69,t_1064547987210539,,,Dạ em báo cửa hàng hỗ trợ chị ạ,handoff
563,69,t_1064547987210539,Bên bạn có bộ đồ cotton dài tay cho các bé tầm 35 kg ko ạ,handoff,,
564,69,t_1064547987210539,,,K's Closet chào chị ạ. https://bit.ly/ksclosetvnshopee.  Đây là link đặt online trên shopee của K's Closet. Chị vui lòng truy cập xem và sắm đồ cho bé ạ,handoff
565,70,t_1064547987210539,Bộ này có size cho bé 35 kg ko shop,ask_if_sells#size,,
566,70,t_1064547987210539,,,,
567,70,t_1064547987210539,,,"Dạ sản phẩm chị quan tâm bên em có size lớn nhất cho bạn 30kg thôi ạ. Còn nhiều sản phẩm có size của bé, https://bit.ly/ksclosetvnshopee chị vui lòng tham khảo mẫu khác giúp em ạ",handoff
568,70,t_1064547987210539,,,"Dạ sản phẩm chị quan tâm bên em có size lớn nhất cho bạn 30kg thôi ạ. Còn nhiều sản phẩm có size của bé, https://bit.ly/ksclosetvnshopee chị vui lòng tham khảo mẫu khác giúp em ạ",handoff
569,70,t_1064547987210539,,,"Dạ sản phẩm chị quan tâm bên em có size lớn nhất cho bạn 30kg thôi ạ. Còn nhiều sản phẩm có size của bé, https://bit.ly/ksclosetvnshopee chị vui lòng tham khảo mẫu khác giúp em ạ",handoff
40578,6738,t_1175109685984169,Cả cái chân váy đợt trc c bảo ý,handoff,,
40579,6738,t_1175109685984169,Ok e.,agree,,
40580,6738,t_1175109685984169,,,,
40581,6738,t_1175109685984169,,,Mẫu chị quan tâm bên em không còn nữa ạ. Chị ghé shopee tham khảo mẫu khác giúp em ạ,handoff
40582,6738,t_1175109685984169,,,Mẹ Hà Vy đã trả lời một quảng cáo.,handoff
40583,6738,t_1175109685984169,,,Chào Mẹ! Chúng tôi có thể giúp gì cho bạn?,handoff
40584,6738,t_1175109685984169,,,,
40585,6738,t_1175109685984169,Chào bn m muốn mua cái váy này,request#price,,
40586,6738,t_1175109685984169,Bên bạn có còn sản phẩm này không?,handoff,,
40587,6738,t_1175109685984169,,,,
40588,6738,t_1175109685984169,,,Mẫu váy B172tES bên em chỉ còn tại shopee.,handoff
40589,6738,t_1175109685984169,Thế ah.c cảm ơn e.,thank,,
40590,6738,t_1175109685984169,,,"Dạ vâng ạ. Chỉ lên shopee đặt cho bé giúp em, link em gửi phía trên đó ạ",agree
40591,6738,t_1175109685984169,Uh.,handoff,,
40592,6738,t_1175109685984169,,,Em cảm ơn chị ạ,thank
40593,6738,t_1175109685984169,😄😄😄,icon,,
