sentence,ic,ner
đúng rồi nhà,agree,O O O
hihi uh ok,agree,O O O
đúng rồi shop nhé,agree,O O O O
vâng vẫn đang bmht ạ,agree,O O O O O
vâng để e xem rồi báo lại nhed,agree,O O O O O O O O
vâng tks b nhé,agree,O O O O
vâng ak e vừa làm thử ok lắm ak hihi,agree,O O O O O O O O O O
vâng vì e muốn cho cầu trượt vào,agree,O O O O O O O O
dung roi ne,agree,O O O
vâng ah,agree,O O
vâng để e tham khảo thêm nhé,agree,O O O O O O O
dạ vâng oki shop,agree,O O O O
ừa nha,agree,O O
uh đúng rồi e,agree,O O O O
vâng ah để mình xem ah,agree,O O O O O O
vâng ạ th mai e qua ạ,agree,O O O O O O O
vâng 3,agree,O O
vâng mai đc ạ,agree,O O O O
vâng ạ em đang xem đây,agree,O O O O O O
dạ vâng ở dưới nó loe ra nên rộng,agree,O O O O O O O O O
đúng rôi,agree,O O
uh đúng rồi phụ nữ nào có con rồi cũng đều quan tâm đến mấy cái này,agree,O O O O O O O O O O O O O O O O O
da vang dung roi,agree,O O O O
vâng th thôi vậy,agree,O O O O
ah vâng a,agree,O O O
đúng rôig b oi,agree,O O O O
vâng nhận qua viettel,agree,O O O O
ah uhm,agree,O O
đúng rồi hàng chính hãng là yên tâm rồi,agree,O O O O O O O O O
ừ ok b thế để tí m ck nha,agree,O O O O O O O O O
vâng cod okie,agree,O O O
àh uh,agree,O O
ok e đặt bên shoppe rồi ah,agree,O O O O O O O
vâng sj,agree,O O
uh uh cậu ạ,agree,O O O O
vâng e biết tính roi a,agree,O O O O O O
hj uk,agree,O O
hihi uh,agree,O O
đúng rối,agree,O O
đúng rồi nha bạn ơi,agree,O O O O O
vâng mình hiểu rồi,agree,O O O O
dạ vâng cg đc ạ,agree,O O O O O
àk vâng,agree,O O
ừ thì mình chưa rõ nên mới hỏi lại đó,agree,O O O O O O O O O O
vâng ạ chiều em chốt ạ,agree,O O O O O O
đúng rồi đó shop,agree,O O O O
vâng coi như e lấy hộ,agree,O O O O O O
dạ vâng vậy thui ạ,agree,O O O O O
ừa oke có gì nhớ báo t nhé,agree,O O O O O O O O
da dung roi a,agree,O O O O
dạ vâng th e tự thi t k màn cũng đc ạ,agree,O O O O O O O O O O O O
vâng mình mún mua mà xa quá,agree,O O O O O O O
vâng tks shop,agree,O O O
vâng thoii cũng đc ah,agree,O O O O O
dạ vâng để e nghiên cứu thêm ạ,agree,O O O O O O O O
vâng đây c,agree,O O O
dạ đúng roi ạ,agree,O O O O
vâng ạ có gì e đặt hàng sau ạ,agree,O O O O O O O O O
dạ vâng,agree,O O
vâng ok ạ,agree,O O O
đúng rồi nhe,agree,O O O
vâng em thấy rồi,agree,O O O O
da vâng a,agree,O O O
thế à uh,agree,O O O
dạ vâng đc ạ,agree,O O O O
vâng ạt,agree,O O
vâng th đc r ạ,agree,O O O O O
vâng em nhận đc rồi,agree,O O O O O
vâng ạ chắc ngày nào cũng cho bơi quá,agree,O O O O O O O O O
vâng để e tính ạ,agree,O O O O O
đúng rồi mình nhầm,agree,O O O O
đúng rồi b àh,agree,O O O O
vâng e oder,agree,O O O
vâng ok c ạ,agree,O O O O
ah vâng,agree,O O
đúng rồi em a,agree,O O O O
ừ th phải báo thức không lại quên mất,agree,O O O O O O O O O
vâng e gọi lại rồi,agree,O O O O O
dung roi ban minh can bảo hành,agree,O O O O O O O
dạ vâng đúng rồi ạ,agree,O O O O O
vâng c xem hộ e với,agree,O O O O O O
b uii,greet,O O
hi shop ạ,greet,O O O
ah chị oie,greet,O O O
hi shpp,greet,O O
alooo b ơi,greet,O O O
hi dm,greet,O O
hi ship,greet,O O
alo b oii,greet,O O O
shi ơi,greet,O O
ng ơi,greet,O O
bạn ơii,greet,O O
alooo shop ơiiii,greet,O O O
shopw ơi,greet,O O
alo cậu ơi,greet,O O O
hihi chị ơiii,greet,O O O
alo bạn ơiii,greet,O O O
aloa,greet,O
chị yêu ới,greet,O O O
í chị ơi,greet,O O O
chào shop,greet,O O
aloooo shop ơi,greet,O O O
câu ơi,greet,O O
hi ahop,greet,O O
hi ad,greet,O O
cji oi,greet,O O
alo gái oi,greet,O O O
n oie,greet,O O
alo ship,greet,O O
shop uiiii,greet,O O
aloe,greet,O
alo b ô,greet,O O O
aloooo bạn ơi,greet,O O O
hì ukie bạn,greet,O O O
shop ơi hizz,greet,O O O
uh bạn ơi,greet,O O O
aloo shop ơiiii,greet,O O O
alo shop ưi,greet,O O O
alooo cậu ơi,greet,O O O
alo blo clo,greet,O O O
alooo b ơiii,greet,O O O
hi shop,greet,O O
này bạn ơi,greet,O O O
alo nang oi,greet,O O O
chị oi,greet,O O
b ấy ơi,greet,O O O
alo alooooo,greet,O O
alo em ơi,greet,O O O
hi ban oi,greet,O O O
alo bạn ơii,greet,O O O
hi shoo oi,greet,O O O
alo cau iu,greet,O O O
hi xx,greet,O O
alo s,greet,O O
ah c oi,greet,O O O
c c oi,greet,O O O
alo bạn iiw,greet,O O O
alo shop ưoi,greet,O O O
c oiq,greet,O O
chị ơi,greet,O O
hi bi,greet,O O
hi ba n,greet,O O O
sh ới,greet,O O
alô alô,greet,O O
hi shop ah,greet,O O O
hi dc nak,greet,O O O
alo chị ưoi,greet,O O O
dạ chị oi,greet,O O O
shop ơiiiiiiiiiiiiii,greet,O O
hi em,greet,O O
aloe shop ơi,greet,O O O
ckj ơi,greet,O O
alo e oie,greet,O O O
hi hie,greet,O O
sop oi,greet,O O
aloo bạn oi,greet,O O O
chị ơiiiiii,greet,O O
ah oi,greet,O O
alooooooooooo,greet,O
ô b oi,greet,O O O
alo chj oi,greet,O O O
alo alo shop,greet,O O O
aloo shop,greet,O O
shope oie,greet,O O
hello bạn ơi,greet,O O O
alo b oiw,greet,O O O
alo ch,greet,O O
ủa b ơi,greet,O O O
xin chào sh,greet,O O O
alô shop oi,greet,O O O
alo ahop,greet,O O
hi dhop,greet,O O
bạn oi,greet,O O
chào bạn,greet,O O
hi chi,greet,O O
aloii,greet,O
alo shop oai,greet,O O O
sao chị oi,greet,O O O
sjop oi,greet,O O
alo sop,greet,O O
alo a,greet,O O
aloo c ơi,greet,O O O
bajn oi,greet,O O
alo shoo ô,greet,O O O
hi shop ơi,greet,O O O
alo alo alp,greet,O O O
aloooooo,greet,O
c oi,greet,O O
b ơii,greet,O O
alo alooo,greet,O O
s shop oi,greet,O O O
aloo shop oi,greet,O O O
ali b ơi,greet,O O O
c oi c,greet,O O O
ad ui,greet,O O
alo e êi,greet,O O O
đâ bạn ơi,greet,O O O
alo shop ơiii,greet,O O O
alo m,greet,O O
chao bnn,greet,O O
alo bạn woi,greet,O O O
alo chị thuỷ,greet,O O O
alo ship ơi,greet,O O O
ờ cậu ơi,greet,O O O
alo9,greet,O
ơ ấy ơi,greet,O O O
thủy ơi,greet,O O
hị thiệt hả,greet,O O O
aloo ạh,greet,O O
hí b,greet,O O
hi thuy,greet,O O
dạ c oi,greet,O O O
alô ạ,greet,O O
thủy đẹp ơi,greet,O O O
ays ơi,greet,O O
bam oi,greet,O O
alo s oi,greet,O O O
alo s a,greet,O O O
alo ấy ơi,greet,O O O
alo ship oi,greet,O O O
aloooooo bloooooo,greet,O O
hì shop,greet,O O
ô bạn ơi,greet,O O O
chị ói,greet,O O
ib skop oi,greet,O O O
alo all,greet,O O
ơ b ơi,greet,O O O
alooi,greet,O
chi ới,greet,O O
chào bn,greet,O O
alo ahop ơi,greet,O O O
hú b ơi,greet,O O O
ad bạn ơi,greet,O O O
alo c ơ8,greet,O O O
aloalo alo,greet,O O
trời ui,greet,O O
bun oi,greet,O O
ủa b oie,greet,O O O
mà chi oi,greet,O O O
aloooooooo,greet,O
alooooooooooooooooooooo,greet,O
aloo chị,greet,O O
alo e ô,greet,O O O
alo e uii,greet,O O O
alo sho,greet,O O
shpp ơi,greet,O O
shol ưi,greet,O O
oạch c ơi,greet,O O O
n ơi,greet,O O
shop ơi shop,greet,O O O
c oi hix,greet,O O O
alo b ới,greet,O O O
alo sh ơi,greet,O O O
ấy ơiii,greet,O O
alo bạn ou,greet,O O O
alo shop ô,greet,O O O
chị ơi b,greet,O O O
alo e ơiii,greet,O O O
alb oi,greet,O O
alo b ơiii,greet,O O O
chao bn,greet,O O
aloo chào shop,greet,O O O
alooioo,greet,O
alooooi,greet,O
hi s,greet,O O
em ơi,greet,O O
cậu ơiiiiii,greet,O O
alô e,greet,O O
alo shop ơii,greet,O O O
alô shop ơi,greet,O O O
hì b,greet,O O
ah bạn oie,greet,O O O
em ơi em,greet,O O O
shop oiq,greet,O O
alo bạn ơiiiii,greet,O O O
ah c ơii,greet,O O O
hi a,greet,O O
chi ưi,greet,O O
aloc,greet,O
hi b oi,greet,O O O
alo em ơiii,greet,O O O
halo shop,greet,O O
hello chi,greet,O O
helo b,greet,O O
xin chafo,greet,O O
xin chàoo,greet,O O
xin chao,greet,O O
alo o,greet,O O
alo e ơii,greet,O O O
alo shoo,greet,O O
hix shop ơi,greet,O O O
ch ơi,greet,O O
alooooo,greet,O
b oi đay,greet,O O O
chii oi,greet,O O
à shop oi,greet,O O O
alo shopp,greet,O O
có b ơi,greet,O O O
ssh ơi,greet,O O
alo c owi,greet,O O O
hi shiop,greet,O O
alo sop ơi,greet,O O O
alo chào ban,greet,O O O
aloooo ban oi,greet,O O O
alo shop ơiiii,greet,O O O
alo emm,greet,O O
ơ bạn ơi,greet,O O O
hi em ơi,greet,O O O
chào chị,greet,O O
alo c ợ,greet,O O O
bánh ơi,greet,O O
alô s6,greet,O O
alo eoi,greet,O O
em oiiiiiiii,greet,O O
hi shop 3,greet,O O O
ab b oie,greet,O O O
alo ahop oi,greet,O O O
hi sh,greet,O O
chị úi,greet,O O
à em ơi,greet,O O O
alo b ơii,greet,O O O
alo c ơiiiiiiiii,greet,O O O
hi sho,greet,O O
xin chào shop,greet,O O O
dạ em cảm ơn nhiều ạ,thank,O O O O O O
cám ơn shop nhé,thank,O O O O
gửi giao tại nhà nha cảm ơn ấy,thank,O O O O O O O O
thanks *,thank,O O
cám ơn bann,thank,O O O
da cảm ơn ạ,thank,O O O O
cảm ơn b có gì liên lạc sau nhé,thank,O O O O O O O O O
cảm on shop nay giờ tư vấn ạ e k mua ạ e cảm on shop ạ,thank,O O O O O O O O O O O O O O O O O
cám ơn ak,thank,O O O
cám on b,thank,O O O
v e cám ơn,thank,O O O O
e cám ơn,thank,O O O
thanks shop có gì mình sẽ ib sau nha ngâm cứu reivew đã,thank,O O O O O O O O O O O O O
cám ơn sh nhiều ạ làm phiền sh quá ạ,thank,O O O O O O O O O O
dạ vâng vậy e cảm ơn ạ,thank,O O O O O O O
cảm ơn shop sang tháng về hn m sẽ đặt sau,thank,O O O O O O O O O O O
cảm ơn ban nhiều nhé,thank,O O O O O
cảm ơn bạn nhiều,thank,O O O O
cảm ơn bạn nhé,thank,O O O O
thanks để mình đặt trên shopee,thank,O O O O O O
đẹp lắm cám ơn b nhé,thank,O O O O O O
j hak j cam on shop,thank,O O O O O O
k có j đâu thanks bạn,thank,O O O O O O
e cảm ơn nhìu,thank,O O O O
mình cám ơn,thank,O O O
t cảm ơn bạn,thank,O O O O
minh cam on shop,thank,O O O O
cảm ơn shop nha có gì e ib lại,thank,O O O O O O O O O
e cám ơn chị ạ,thank,O O O O O
cám ơn sh nhiều lắm nè,thank,O O O O O O
t cảm ơn nha,thank,O O O O
cám ơn c,thank,O O O
cảm ơn ấy nhiều nhé,thank,O O O O O
cảm ơn shop nhìu nhe,thank,O O O O O
cảm ơn c đã gửi quà tặng kèm cho bé,thank,O O O O O O O O O O
thanks bạn có gì mình liên hệ lại,thank,O O O O O O O O
thanks sh nha,thank,O O O
vâng cảm ơn shop rất nhiều,thank,O O O O O O
thánks ep,thank,O O
t cảm ơn b,thank,O O O O
cảm ơn shop nhiều ạ,thank,O O O O O
m cảm ơn nhé,thank,O O O O
to cam on nhe,thank,O O O O
mình cảm ơn bạn lắm,thank,O O O O O
thank kiu shop nhé,thank,O O O O
m cảm ơn nhe,thank,O O O O
thanks c nhìu nha,thank,O O O O
thanks c nhé,thank,O O O
thanks bạn nhiều ạ,thank,O O O O
thanks shop có gì m nhắn sau nha,thank,O O O O O O O O
cảm ơn b nhìu ạ,thank,O O O O O
thanks c thuy nhe,thank,O O O O
thanks b nha đặt hàng m sẽ báo lại nhé,thank,O O O O O O O O O O
cảm ơn ạ mình sẽ qua mua trực tiếp ạ,thank,O O O O O O O O O O
cám ơn shop mình sẽ đo lại và ib cho shop sau nhé,thank,O O O O O O O O O O O O O
thanks shop tư vấn nhiệt tình,thank,O O O O O O
thank bạn,thank,O O
à vâng cảm ơn shop ạ,thank,O O O O O O
cám ơn e nhea,thank,O O O O
e cảm ơn nhed,thank,O O O O
em cám ơn shop ạ,thank,O O O O O
thanks ad,thank,O O
mình vặn được r cảm ơn b,thank,O O O O O O O
thank bạn na,thank,O O O
thank b nhé,thank,O O O
em xin cam on ạ,thank,O O O O O
mình cảm ơn bạn nhiều nhé,thank,O O O O O O
e cam on shop ạ,thank,O O O O O
thanks sh,thank,O O
thank s shop,thank,O O O
cảm ơn shop có gì m liên hệ lại sau,thank,O O O O O O O O O O
thank shop ah minh nhan dc hag oy,thank,O O O O O O O O
em cảm on chị thuy,thank,O O O O O
cảm on c sản phẩm tốt lắm ạ,thank,O O O O O O O O
cam on e nhe,thank,O O O O
mình cảm ơn shop ạ,thank,O O O O O
bạn thanks bạn nha,thank,O O O O
t cảm ơn,thank,O O O
cảm ơn shop tư vấn nhe,thank,O O O O O O
em cảm ơn j,thank,O O O O
cảm ơn shop để em xem các mẫu khác vậy,thank,O O O O O O O O O O
thanks shop ne,thank,O O O
tks b để mình sn lại nha cám ơn b,thank,O O O O O O O O O O
cam on e,thank,O O O
cám ơn bạn,thank,O O O
em cam on a,thank,O O O O
để mh cân nhắc thanks nhé,thank,O O O O O O
thank you,thank,O O
cám ơn sh mk đặt rồi nha,thank,O O O O O O O
thanks o,thank,O O
cám ơn chị nhé,thank,O O O O
cam ơn shop nhé,thank,O O O O
cám ơn ăn,thank,O O O
cảm ơn shop nhiều nhen,thank,O O O O O
dạ mình cám ơn,thank,O O O O
vậy ah m cảm ơn cậu nhé,thank,O O O O O O O
cảm ơn s nhiều em xem thêm có gì ib lại s,thank,O O O O O O O O O O O O
cám ơn shop da tư vấn,thank,O O O O O O
cảm ơn shop nhiều nhiều,thank,O O O O O
tks shop nhiều,thank,O O O
thanks bạn ah,thank,O O O
cảm ơn b,thank,O O O
b t cam on,thank,O O O O
e oi chi cảm ơn nhé,thank,O O O O O O
cám ơn shop có gì mình liên hệ sau,thank,O O O O O O O O O
vâng e cảm oen ạ,thank,O O O O O
cảm ơn ban,thank,O O O
cam on ban,thank,O O O
mình cảm ơn shop và bạn shipper nhé,thank,O O O O O O O O
m đã nhận r nhé cám ơn shop,thank,O O O O O O O O
vang thanks shop ah,thank,O O O O
thanks shop nhé mình sẽ tham khảo,thank,O O O O O O O
thanks em,thank,O O
e cam on co j e se bao lai,thank,O O O O O O O O O
cám ơn sh nhe,thank,O O O O
em cảm ơn chị nhiều nhé,thank,O O O O O O
e cam ôn c,thank,O O O O
cảm ơn bạn nha để chồng mình xem rồi mình báo bạn,thank,O O O O O O O O O O O O
cảm ơn shop jhes,thank,O O O O
e cảm on chị,thank,O O O O
cám ơn b nh,thank,O O O O
cám ơn b để mình tham khảo,thank,O O O O O O O
vậy cảm ơn shop nha,thank,O O O O O
thanksb,thank,O
thanks nhe,thank,O O
hi thanks,thank,O O
cảm ơn shop mình sẽ tham khảo thêm,thank,O O O O O O O O
tớ cảm ơn cậu,thank,O O O O
e cám ơn ah,thank,O O O O
mình cảm ơn vậy để mình xem rồi nhắn shop nhé cảm ơn shop nhiều,thank,O O O O O O O O O O O O O O O
thanks b,thank,O O
cam on shop de minh tham khao xem,thank,O O O O O O O O
thế minh cam ơn nhé,thank,O O O O O
vay cam on b nhe,thank,O O O O O
cám ơn shpp,thank,O O O
m cảm on,thank,O O O
mình cảm ơn shop,thank,O O O O
thank shop nhiug,thank,O O O
em cám ơn,thank,O O O
mh cảm ơn,thank,O O O
m cảm ơn nha,thank,O O O O
có j e nhờ c nha thanks c ah,thank,O O O O O O O O O
thank,thank,O
thanks ban nha,thank,O O O
cám ơn chị tư vấn nhew,thank,O O O O O O
cam on shop nhiu,thank,O O O O
keke cám ơn bạn,thank,O O O O
dạ m cám ơn,thank,O O O O
thanks pan đa tu van giup minh nhe,thank,O O O O O O O O
cảm ơn bạn để mình gọi nha,thank,O O O O O O O
cảm ơn em,thank,O O O
chân thành cam on các chị lắng nghe em chia sẻ,thank,O O O O O O O O O O O
e cảm ơn shop nha,thank,O O O O O
nhiều tiền quá cám ơn bạn,thank,O O O O O O
da vâng em cám ơn shop nh,thank,O O O O O O O
e cám ơn shop nhiều ạ,thank,O O O O O O
vây cam on b nhiu nha,thank,O O O O O O
tớ cám ơn,thank,O O O
e cảm ơn chị,thank,O O O O
sang tuần m mua cám ơn nhé,thank,O O O O O O O
m cám ơn nl,thank,O O O O
mình cảm ơn nhe,thank,O O O O
cảm on sh,thank,O O O
cam ơn shop,thank,O O O
tớ cảm ơn nhiều nhé,thank,O O O O O
ah rồi m cảm ơn nhé,thank,O O O O O O
cảm ơn c đã tư vấn nhiệt tình ak,thank,O O O O O O O O O
à cám ơn bạn,thank,O O O O
cảm ơn shop khi nào mình lấy mình báo nhé,thank,O O O O O O O O O O
cảm ơn shop nhiệt tình trả lời nhé,thank,O O O O O O O O
thanks ban de nghi ki lai hihi,thank,O O O O O O O
mình cám ơn chiều nay vc mình qua ạ,thank,O O O O O O O O O
thank b để m đặt luôn,thank,O O O O O O
cám ơn bạn nhé,thank,O O O O
minh cam ơn nhé,thank,O O O O
ah mình cảm ơn,thank,O O O O
cám ơn shop có gì mình liên hệ lại ah,thank,O O O O O O O O O O
cảm ơn shop ạ có gì mình mua thì mình sẽ liên hệ với shop,thank,O O O O O O O O O O O O O O O
thanks chị nhiều nhe e đỡ ta bank,thank,O O O O O O O O
t cám ơn nhé,thank,O O O O
em cảm ơn chị nhé,thank,O O O O O
shop cám ơn shop nhìu nhé,thank,O O O O O O
cảm ơn ạ có gì mình liên hệ sau,thank,O O O O O O O O O
minh cam on shop nha,thank,O O O O O
e cam ơn,thank,O O O
e cam on nhe de e tham khao them,thank,O O O O O O O O O
à cám ơn shop,thank,O O O O
em cám ơn chị,thank,O O O O
em cam on,thank,O O O
thanks bạn ạ,thank,O O O
cám ơn b mai m qa shop xem,thank,O O O O O O O O
tớ cảm ơn,thank,O O O
cảm ơn shop mình sẽ phản hồi sau nhé,thank,O O O O O O O O O
em cam on chị ạ,thank,O O O O O
de e xem lai thanks shop a,thank,O O O O O O O
thank b ne,thank,O O O
cảm ơn b trước nhé,thank,O O O O O
thanks shop để minh liên hệ,thank,O O O O O O
cám ơn b hum nào vk ck mình qua shop xem ạ,thank,O O O O O O O O O O O O
mình đặt được bên shopee rồi cảm ơn shop,thank,O O O O O O O O O
à cám ơn shop mình quy t định mua sẽ liên hệ lại nha,thank,O O O O O O O O O O O O O O
m cảm ơn ạ,thank,O O O O
vâng e cảm ợ,thank,O O O O
za e thank nak,thank,O O O O
hiu v e k mua được rùi e cảm ơn ạ,thank,O O O O O O O O O O O
cam on shop nhìu nha,thank,O O O O O
m cảm ơn nhé có gì mình sẽ qua cửa hàng ạ,thank,O O O O O O O O O O O O
cảm ơn shop mình bàn bạc với vợ rồi liên hệ lại với shop ạ,thank,O O O O O O O O O O O O O O O
thank bạn hen,thank,O O O
thanks c,thank,O O
mình cám ơn shop,thank,O O O O
e cảm ơn c nhìu nha,thank,O O O O O O
thank you nhiều nhá,thank,O O O O
de minh can nhac lai thanks shop,thank,O O O O O O O
thanks ad nhìu,thank,O O O
mk cảm ơn shop,thank,O O O O
thanks c tư vấn nhiệt tình ak,thank,O O O O O O O
da e cam ơn a,thank,O O O O O
mình cám ơn nhièu nhé,thank,O O O O O
cảm ơn shop đã tư vấn nhiều lắm m sẽ suy nghĩ chút chút nha,thank,O O O O O O O O O O O O O O O
cam ơn b,thank,O O O
cám ơn để e ngé,thank,O O O O O
cám ơn shop tư vấn ạ,thank,O O O O O O
"cảm ơn bạn, cầu trượt đẹp quá, để mình tham khảo",thank,O O O O O O O O O O O
thanks để mình xem,thank,O O O O
mh cảm ơn nha,thank,O O O O
cảm ơn shop ạ,thank,O O O O
mình cảm on ạ,thank,O O O O
vâng thank chị,thank,O O O
m nhan dk rui nhe cam on b,thank,O O O O O O O O
thank kiu ấy,thank,O O O
huhu cam on ban,thank,O O O O
cảm ơn shop heno,thank,O O O O
v e cám ơn c,thank,O O O O O
cảm ơn shop nha để mình tìm hiểu thêm đã nhé,thank,O O O O O O O O O O O
mh cảm ơn ạ,thank,O O O O
thanks b nhea,thank,O O O
em cảm ơn ạ em cân nhắc xíu a,thank,O O O O O O O O O
ng hay chatbot,ask_is_bot,O O O
chatbot tự động à,ask_is_bot,O O O O
ng hay máy vậy shop,ask_is_bot,O O O O O
mình đang chat với ng hay bot the,ask_is_bot,O O O O O O O O
đang chat với chatbot hay người thế,ask_is_bot,O O O O O O O
shop oi auto reply ha,ask_is_bot,O O O O O
shop de auto tra loi a,ask_is_bot,O O O O O O
nvien hay chatbot vay,ask_is_bot,O O O O
chatbot ha,ask_is_bot,O O
nhan vien hay bot,ask_is_bot,O O O O
auto rep a shop,ask_is_bot,O O O O
la ng hay chatbot the,ask_is_bot,O O O O O
la nguoi hay chatbot the,ask_is_bot,O O O O O
bot à shop ơi,ask_is_bot,O O O O
shop ơi ng hay bot the ah,ask_is_bot,O O O O O O O
nhan vien hay bot vay,ask_is_bot,O O O O O
có phải người không,ask_is_bot,O O O O
auto trả lời à,ask_is_bot,O O O O
