,pattern,sample
10,send_image!!!send_image->send_image,"['t_1007580006290992', 't_10154478122024099', 't_10155646740539608', 't_10156064898889736', 't_10156982452954151', 't_10157041948966172', 't_10157143290589674', 't_10157567611058381', 't_10157933132394099', 't_10158069000149310', 't_10158133607213816']"
11,agree&handoff&shop_turn!!!agree->handoff&handoff->shop_turn&shop_turn->agree&shop_turn->handoff,"['t_10100932554248451', 't_10154676773016242', 't_10154705362868505', 't_10155356385623024', 't_10156240865307058', 't_10156636579354566', 't_10156739991162969', 't_10156760504546516', 't_10156972782499226', 't_10157238766206262', 't_10157434300399733']"
12,handoff&request#price&send_image!!!handoff->send_image&send_image->request#price,"['t_1006055622889533', 't_10154699706540959', 't_10156760504546516', 't_10157119178017198', 't_10157189956009732', 't_10157196017646086', 't_10157567611058381', 't_10157768139478325', 't_10157851777663261', 't_10157925351082552', 't_10158069000149310']"
13,handoff&inform&shop_turn!!!handoff->shop_turn&inform->shop_turn&shop_turn->handoff&shop_turn->inform,"['t_1000530580105838', 't_1004620243391427', 't_1005733343093260', 't_1006055622889533', 't_1007524355979181', 't_1013440875697641', 't_1014089215401017', 't_10153728354748186', 't_10154623539170750', 't_10154938647295009', 't_10155582516351984']"
14,greet&handoff!!!handoff->greet,"['t_10100932554248451', 't_10155479753508981', 't_10156444777479223', 't_10156867392242296', 't_10156978642686511', 't_10157106917918181', 't_10157143290589674', 't_10157143529283131', 't_10157164064371673', 't_10157434300399733', 't_10157631402846552']"
15,handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->shop_turn&shop_turn->handoff&shop_turn->request#price,"['t_1004620243391427', 't_1005733343093260', 't_1006055622889533', 't_1007524355979181', 't_10153728354748186', 't_10154217459286452', 't_10154763945369584', 't_10155237068889113', 't_10156240865307058', 't_10156739991162969', 't_10157041948966172']"
16,agree&handoff&shop_turn!!!agree->shop_turn&handoff->shop_turn&shop_turn->agree&shop_turn->handoff,"['t_1000530580105838', 't_1002106096929422', 't_1003854193323903', 't_1009369385915303', 't_10100932554248451', 't_1014089215401017', 't_10154705362868505', 't_10156536425278884', 't_10156636579354566', 't_10156739991162969', 't_10156875575949793']"
17,request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->request#price&shop_turn->send_image,"['t_1003406883362420', 't_1008235929607331', 't_10154196866534100', 't_10155619383374045', 't_10155899635763927', 't_10156739991162969', 't_10157108917211363', 't_10157189956009732', 't_10157567611058381', 't_10157601718010767', 't_10158108481823012']"
18,handoff&inform&shop_turn!!!handoff->shop_turn&inform->handoff&shop_turn->handoff&shop_turn->inform,"['t_1013440875697641', 't_1014807975379942', 't_10154623539170750', 't_10156867392242296', 't_10156893974542634', 't_10156972782499226', 't_10157112562756954', 't_10157429216584147', 't_10157446736451439', 't_10157673898228317', 't_10157707643875831']"
19,inform&shop_turn!!!inform->inform&inform->shop_turn&shop_turn->inform,"['t_1005733343093260', 't_1013440875697641', 't_10154623539170750', 't_10156867392242296', 't_10156893974542634', 't_10157010520347728', 't_10157112562756954', 't_10157276190078402', 't_10157324116952284', 't_10157706374867417', 't_10158133607213816']"
20,handoff&send_image!!!handoff->send_image&send_image->handoff,"['t_1007310769403795', 't_1015241248917084', 't_10156750714143779', 't_10156788645030866', 't_10156863863855796', 't_10157143290589674', 't_10157805068030953', 't_10157991725988537', 't_10158084443394926', 't_10158133607213816', 't_10158188659562572']"
21,handoff&send_image&shop_turn!!!handoff->shop_turn&send_image->shop_turn&shop_turn->handoff,"['t_1000252483741994', 't_1002106096929422', 't_10101481932986581', 't_1013440875697641', 't_1014089215401017', 't_10154705362868505', 't_10154763945369584', 't_10155356385623024', 't_10155884218668219', 't_10156018249225770', 't_10156035974392105']"
22,send_image&shop_turn!!!send_image->shop_turn&shop_turn->send_image,"['t_1003406883362420', 't_10101481932986581', 't_1014782642060115', 't_10154763945369584', 't_10155646740539608', 't_10155884218668219', 't_10156018249225770', 't_10156064898889736', 't_10156220722513931', 't_10156696963234767', 't_10156818059808819']"
23,handoff&inform&shop_turn!!!handoff->inform&handoff->shop_turn&inform->shop_turn&shop_turn->handoff,"['t_10154623539170750', 't_10156240865307058', 't_10156867392242296', 't_10156893974542634', 't_10156922482649797', 't_10156972782499226', 't_10157041948966172', 't_10157112562756954', 't_10157143290589674', 't_10157143529283131', 't_10157150297931199']"
24,agree&handoff&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->agree&shop_turn->handoff,"['t_1000530580105838', 't_1002106096929422', 't_10100932554248451', 't_10154196866534100', 't_10154623539170750', 't_10154676773016242', 't_10154705362868505', 't_10154938647295009', 't_10155582516351984', 't_10156240865307058', 't_10156444777479223']"
25,handoff&send_image&shop_turn!!!handoff->send_image&send_image->shop_turn&shop_turn->handoff,"['t_1000252483741994', 't_1013440875697641', 't_10154705362868505', 't_10156064898889736', 't_10157189956009732', 't_10157567611058381', 't_10157707643875831', 't_10157933132394099', 't_10158097559113800', 't_10160241957818362', 't_10160312049819689']"
26,ask_availability#size&send_image&shop_turn!!!ask_availability#size->shop_turn&send_image->ask_availability#size,"['t_1003357836701196', 't_10156064898889736', 't_10156535425772027', 't_10156610880862984', 't_10156831611076221', 't_10156948478828493', 't_10157184326443160', 't_10157732788579280', 't_10157754487472296', 't_10157925738093762', 't_10157949062433925']"
27,greet&shop_turn!!!greet->shop_turn,"['t_1007915549568808', 't_10155479753508981', 't_10155846587017325', 't_10156055552469061', 't_10156444777479223', 't_10156831611076221', 't_10156867392242296', 't_10156898966594929', 't_10157108917211363', 't_10157143529283131', 't_10157196017646086']"
28,handoff&inform&shop_turn!!!handoff->handoff&handoff->shop_turn&inform->shop_turn&shop_turn->handoff,"['t_1000530580105838', 't_1006055622889533', 't_1013440875697641', 't_10154623539170750', 't_10154705362868505', 't_10154938647295009', 't_10155247645916358', 't_10155254084758478', 't_10155582516351984', 't_10155990905004300', 't_10156240865307058']"
29,handoff&request#price!!!request#price->handoff,"['t_1005733343093260', 't_10101874383941547', 't_10155619383374045', 't_10155882175562751', 't_10157010520347728', 't_10157196017646086', 't_10157238766206262', 't_10157706374867417', 't_10157788266334801', 't_10160241957818362', 't_10206279488982742']"
30,ask_if_sells#size&shop_turn!!!ask_if_sells#size->shop_turn&shop_turn->ask_if_sells#size,"['t_1002740829907464', 't_10154954894584911', 't_10156898966594929', 't_10156934170388703', 't_10156944344843544', 't_10157003825426227', 't_10157668541503281', 't_10157718101623997', 't_10157754487472296', 't_10158188659562572', 't_10158270186503010']"
31,ask_if_sells#size&handoff&shop_turn!!!ask_if_sells#size->shop_turn&handoff->shop_turn&shop_turn->handoff,"['t_1002740829907464', 't_1006055622889533', 't_1009369385915303', 't_10154217459286452', 't_10156064898889736', 't_10156444777479223', 't_10156831611076221', 't_10156898966594929', 't_10156944344843544', 't_10157003825426227', 't_10157041948966172']"
32,handoff&shop_turn!!!handoff->shop_turn&shop_turn->handoff,"['t_1000252483741994', 't_1000530580105838', 't_1002106096929422', 't_1002740829907464', 't_1003854193323903', 't_1004620243391427', 't_1005733343093260', 't_1005933953141414', 't_1006055622889533', 't_1007524355979181', 't_1009178989458512']"
33,handoff!!!handoff->handoff,"['t_1000530580105838', 't_1002106096929422', 't_1006055622889533', 't_1009321132833884', 't_10100932554248451', 't_10101481932986581', 't_1013359158806393', 't_1013440875697641', 't_1014807975379942', 't_10154196866534100', 't_10154521941101342']"
34,handoff&shop_turn!!!shop_turn->handoff,"['t_1000252483741994', 't_1000305683766876', 't_1000530580105838', 't_1002106096929422', 't_1002740829907464', 't_1003805516708052', 't_1003854193323903', 't_1004620243391427', 't_1005733343093260', 't_1005933953141414', 't_1006055622889533']"
35,request#price&shop_turn!!!request#price->shop_turn,"['t_1003207343470531', 't_1003357836701196', 't_1003406883362420', 't_1003982673316039', 't_1004620243391427', 't_1005733343093260', 't_1005933953141414', 't_1006055622889533', 't_1007524355979181', 't_1008235929607331', 't_1009321132833884']"
36,handoff&shop_turn!!!handoff->shop_turn,"['t_1000252483741994', 't_1000305683766876', 't_1000530580105838', 't_1002106096929422', 't_1002740829907464', 't_1003805516708052', 't_1003854193323903', 't_1004620243391427', 't_1005733343093260', 't_1005933953141414', 't_1006055622889533']"
