message,cluster
c có thích ko e ship luôn,3
"Dạ bên em còn size ở cửa hàng Điên Biên,Huế,Từ Sơn ạ",2
Thùy Liên Nguyễn đã trả lời một quảng cáo.,0
vag.c đợi bên e đang lọc mẫu giúp c ạ,4
Tecco bên em hết size của bé rồi ạ. Mong chị thông cảm giúp em ạ,0
Chào Xanh! Chúng tôi có thể giúp gì cho bạn?,4
"The garden, Thái hà, lạc trung, hàng da, savico còn size của bé ạ",5
c tiện qua cơ sở nào e check giúp c ạ,4
Cảm ơn chị đã quan tâm đến sản phẩm của K's Closet. ,9
Gái Chi đã trả lời một quảng cáo.,4
Tuyen Thanh đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,2
"K's Closet chào chị ạ. Sản phẩm K092TES-FK1 - ÁO CỘC TAY BÉ GÁI có giá 139,000đ đồng giá còn 99.000đ",9
"hàng đều là của kscloset mà chị, nhưng mã hàng bán trên shope thì ở cửa hàng k bán nữa, vì trên shope bán sale nhiều nên chạy mã rieneng ạ",0
Phạm Dương đã trả lời một quảng cáo.,6
chị cho em xin cân nặng và chiều cao bé nhà mình đc k ạ,1
"Dạ,K's Closet chào chị ạ.Ở mỗi cửa hàng của K's Closet sẽ có 1 gian hàng đặc biệt có những sản phẩm từ 49k,69k,99k.....Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",3
Dạ bên em có size 9t cho bạn 30kg ạ,8
Chị đang quan tâm mẫu nào cho bé cho em xin hình ảnh em hỗ trợ chị ạ,5
Mời chị bớt chút thời gian qua cửa hàng tham qua và mua sắm ạ,0
Dạ mẫu anh/chị quan tâm bên em còn tại cơ sở 828 Láng (Nằm trong nhà sách Tiến Thọ). Em mời anh/chị ghé cửa hàng xem và sắm đồ cho bé ạ,8
"K's Closet chào chị ạ. Sản phẩm B030TEF Váy bé gái 219,000 + set quà trung thu 197,000. Giá bán 299,000. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",9
"Chị chờ em chút, em báo các bạn cửa hàng chụp mẫu cho chị tham khảo ạ",0
Dạ bên em có áp dụng online chị ạ. Vì web bên em đang quá trình nâng cấp nên chưa set được giá giảm ạ,5
cửa hàng em ở savico Long Biên ạ,2
"Tô Hiệu bên em hết size của bé rồi ạ. Còn Linh Đàm, Nguyễn Văn Cừ, The garden có size của bé ạ",9
Chúc bé có 1 mùa halloween thật vui vẻ chị nha,0
Le Nga đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,8
Áo cadigan len bé trai K045NIF-FK1LC màu kem sale 50% còn 224.500đ.  Chị cho em xin chiều cao và cân nặng cụ thể của bé để em check size phù hợp với bé nhé,4
Xin chào Ngoan!!! 👋 Cảm ơn bạn đã liên hệ với K's Closet trên Messenger. Vui lòng gửi cho chúng tôi mọi câu hỏi của bạn!,5
Em gửi chị một số mẫu có sz của bé ạ,4
Chị đăng ký khẩu trang cho baby (2 -4y) nhận tại điểm bán 28A phố huế đúng ko ạ,0
"Dạ áo bên em hết rồi ạ. Bên em còn quần tại Lotte, Thái Hà, Tecco, Trần Đăng Ninh size 12M ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",9
Em gửi bảng size bên em. Chị tham khảo giúp em nha,4
Bé cao khoảng bao nhiêu cm ạ?,4
cửa hàng bên em còn mẫu quần kẻ xanh tím than sz 4 ạ,9
Dạ shop có size 7 ạ,5
m em có mầu vàng,1
Các bạn sẽ liên hệ chị ạ,5
K's Closet chào chị ạ.Sản phẩm K009NIF-BK1JAXAN03	K009NIF-	ÁO DÀI TAY BÉ TRAI có giá 159000đ sale 50% còn 79.500đ.Bên em có size cho bé từ 3 đến 9t.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,1
Dạ Trần Đăng Ninh hết size của bé ạ. Còn ở Hàng Da và Láng thôi ạ,1
Do Hong Hue đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,2
Chị bấm vào link em gửi phía trên để chọn size phù hợp nhất cho bé nhà mình ạ,4
Mẫu quần đầu tiên bên em còn cả 2 size ở Nam Định ạ. mẫu thứ 2 bên em hết hàng rồi chị ạ,4
Dạ ở Nguyễn Trãi còn 1 chiếc chị nha,7
Đơn của c hết 135k +27k phí ship tổng là 162k nha c,9
"Dạ mẫu đầu tiên bên em có size của bé tại Sơn La, Quảng Trị. Mẫu thứ 2 chỉ còn tại shopee chị ạ",4
Chị quan tâm mẫu quần áo nào cho em xin hình ảnh em hỗ trợ chị ạ,4
Dạ đúng rồi ạ. 12 bé mặc chật chị ạ,0
Dạ bên em có size cho bạn 1-6 tuổi chị ạ,0
"dạ chị đang quan tâm đến váy , quần áo hay bộ đồ cho bạn ạ",0
mẫu này bên e sz lớn nhất là 10 ạ,2
Dạ có 2 mẫu quần chun đó chị ạ,2
Dạ chị chat trực tiếp trên shopee giúp em nha. Vì sản phẩm này chỉ còn trên shopee ạ,4
Bé mặc vừa size 6 chị ạ,0
Bên em nhận ship hàng nếu chi ạ. Chị thanh toán phí ship cho cửa hàng là được ạ,4
bên em có cả sz 5 tuổi và sz 6 tuổi luôn ạ,0
"K's Closet chào chị ạ. Sản phẩm K014TES-FK3BAHSE - BỘ CỘC TAY BÉ GÁI nguyên giá là 209,000đ.  Mời chị ghé cửa hàng hoặc truy cập shopee xem và sắm đồ cho bé ạ",4
"Dạ vâng ạ,sản phẩm hiện chỉ có tại cửa hàng ạ",8
sz 3 là 449k c ạ,4
Giao động 20-30K chị ạ,4
giá sau sale còn 200k ạ,9
Dạ chào chị. Áo hoodie bé gái in hình thỏ K144NIF-FK1JB màu cam có giá 229.000đ sale 50% còn 114.500đ.  Chị muốn check size cho bé cao và nặng bao nhiêu shop hỗ trợ ạ,6
"Dạ, sản phẩm chị quan tâm bên em chỉ còn size cho bạn 6m thôi ạ. Chị cho em xin chiều cao cân nặng của bé để em check mẫu và size phù hợp cho bé chị nha",4
"Dạ bé mặc được size 3t bên em ạ,bên em vẫn còn size của bé ạ",4
"Dạ,sản phẩm B068TES-FT5BKXAN02	CHÂN VÁY DENIM	có giá 269000đ sale đồng giá còn 229000đ.Chị cho em xin chiều cao cân nặng của bé em check size cho chị ạ",0
dạ vâng e nhìn bé có vẻ bụ em cứ lấy sz 10 cho chị nhé vì áo này fom bé chị ạ,9
khi nào c ck c báo e với ạ,7
Chào Seng! Chúng tôi có thể giúp gì cho bạn?,4
Thu Vân Hoàng đã trả lời một quảng cáo.,0
Chị đợi em một chút để em check xem còn cửa hàng nào còn đủ cả 2 chiếc không ạ,1
Lưu Thị Phương đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,9
Thủy Phạm Thu đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,5
Dạ bé nặng 19kg mặc size 06 tuổi ạ,9
"dạ c xem mẫu này cho bạn được ko ạ, mẫu này có chun điều chỉnh ở hai bên đấy ạ",4
dạ store royal nhà e đóng cửa rồi ạ . ở 218 lạc long quân còn set váy phủ thủy còn sz của bạn ạ,4
Mẫu cadigan có size 4 là lớn nhất,4
Em gửi chị địa chỉ cửa hàng ở Nam Định ạ - Nam Định: 48 Hàng Cấp Nam Định - ĐT: 0962 417 366,2
"K's Closet chào chị ạ. Sản phẩm B337NIS-BK3BAXAN - BỘ COTTON CỘC TAY BT có giá  219,000đ ạ. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",0
Chị tham khảo bảng size trên giúp em ạ,0
em gửi chị ạ. Nguyễn Trãi nằm trong nhà sách tiến thọ chị ạ,9
Hi Thu! Please let us know how we can help you.,7
"K's Closet chào chị ạ. Sản phẩm K016TEF-BK4AIXAN09 VÁY DÀI TAY BÉ GÁI có giá 319,000đ sale 30% còn 223.300đ.Chất vải thun ạ Bên em có size cho bé từ 3-9 tuổi, mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",5
"K's Closet chào chị ạ. Sản phẩm B297TES-FK1DATRA - ÁO POLO BÉ TRAI có giá 249,000đ sale 50%  còn 124.500đ . Sản phẩm B299TES-FT2CDXAH - QUẦN SOOC BÉ TRAI có giá 249,000đ sale 50% còn 124.500đ. Bên em có size cho bạn từ 1-6 tuổi. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",7
Dạ chị chờ em check phí vận chuyển và báo lại chị ạ,7
Dạ nếu có nhu cầu bên mình sẽ liên hệ bạn. Cảm ơn bạn,7
"Dạ Thái hà bên em hết size của bé ạ. bên em còn ở Savico, Lạc Long Quân, Nguyễn Văn Cừ, Đội Cấn, Mỗ Lao, Linh Đàm, Aeon ạ",4
dạ mẫu này bên em hết sz rồi chị ạ,4
Dạ áo lên bên em còn tại Buôn ma thuột và quảng trị thôi chị ạ,8
Nhung Phan đã trả lời một quảng cáo.,0
Dạ nếu 120 chị lấy size 7 cho con chị ạ. Cân nặng con mặc được size 6 nhưng nên lấy theo chiều cao vì mặc size 6 sẽ bị cộc chị ạ,8
Dạ mẫu chị quan tâm bên em chỉ có đến size 17kg trở xuống thôi ạ,7
Áo dài nhung đỏ bé gái thêu hình tròn trước ngực K368NIF-LT1FXDOO  size 10 tuổi có giá 599.000đ.  Chân váy tutu K396NIF-LT5BQ size 10 tuổi có giá 259.00đ. Mời chị bớt chút thời gian ghé qua cửa hàng tham quan và mua sắm ạ ❤️,4
Minh Trang đã trả lời một quảng cáo.,7
bộ này bên em hết size cho bé 6t rồi ạ,2
"Chị ơi, chị chặn tin của người lạ nên các bạn cửa hàng bên em không gửi ảnh được cho chị, chị vui lòng xác nhận kết bạn zalo giúp em để các bạn gửi ảnh cho chị tham khảo ạ",1
"Dạ chào chị,",5
"- 277 Cao Lỗ, Đông Anh - ĐT: 0963 231 786 Em gửi chi ạ",4
Dạ vậy bên em không có size của bé rồi ạ,2
Dạ váy dài tay T034NIF-FK4AHVAN có giá 299.000đ ạ. Mời chị bớt chút thời gian qua cửa hàng tham quan và mua sắm ạ,2
Chúc mẹ Thanh Teo  - những người phụ nữ tuyệt vời những điều tươi đẹp nhất!,4
Dạ không có gì ạ,2
Dạ size 4 bộ này bên em còn tại Sóc Sơn - Hà Nội và cơ sở Thừa Thiên Huế  ạ,0
"Dạ mẫu quần bò này bên em vẫn chưa ra hàng ạ,chị tham khảo mẫu khác bên em chị nha",9
Dạ mẫu này bên em còn ở Nguyễn Văn Lộc Mỗ lao chị ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,4
Dạ cửa hàng Lạc Trung bên em nhiều đồ chị ạ.,4
Dạ áo dài bé trai thêu kì lân K355NIF-LT1FXXAN size 10y có giá 619.000đ  ạ.,2
Bên em có size cho bé 1-6 tuổi ạ,6
Trang Nguyên đã trả lời một quảng cáo.,1
"- 277 Cao Lỗ, Đông Anh - ĐT: 0963 231 786 Em gửi chị ạ",4
Áo B127TES có giá là 139.000đ giảm 50% còn  69.500đ ạ,5
"K's Closet chào chị ạ,sản phẩm B050TEF-LT3FX	SET ÁO KÈM CHÂN VÁY có giá 399.000đ .Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
"K's Closet chào chị ạ. Sản phẩm B023TES-BK1AAXAN0 ÁO PHÔNG CỘC TAY có giá gốc  129,000đ sale 50% còn 64.500đ ạ. Bên em có size từ 1-6 tuổi chị ạ  Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",0
dạ e nhận được rồi c ạ,1
Dạ chị ở đâu ạ.,6
"Áo len dệt K110EIF-FK1LB màu hồng có giá 359.000đ.  Quần yếm bé gái B278NIF-FT7A0CAM size 1-2y có giá 359,000đ, size 3-4y có giá 379.000đ.",9
Sản phẩm đồng phục của bên em hiện này hiện giờ đang được GIẢM 50%. Đây cũng là sản phẩm mà bên em tối ưu từ chất vải tới kiểu dáng để bé cảm thấy thoải mái nhất khi vận động tại trường. ,8
Dạ vậy mẫu này bé không vừa rồi ạ. Mẫu này bên em có size lớn nhất là 9 tuổi-32kg chị ạ,4
Dạ bên em có ạ. 2 chiếc này ở 2 điểm khác nhau sẽ phải ship từ 2 điểm chị đồng ý không ạ,2
c muốn tìm mẫu nào cho bé vậy ạ,0
"K's Closet chào chị ạ. Sản phẩm K112TEF-FT4BG VÁY DÀI TAY BÉ GÁI có giá 359,000đ. Bên em có size cho bé từ 3-9 tuổi. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",2
Chào Quần Áo! Chúng tôi có thể giúp gì cho bạn?,3
bé mặc size 7 hoặc 8 chị nha,4
Minh Minh Nguyễn đã trả lời một quảng cáo.,6
Chào Nhân! Chúng tôi có thể giúp gì cho bạn?,4
Dạ set trên chỉ có quần như ảnh thôi ạ,2
chân váy sale 20% còn 231.200 c nhé,7
K's Closet chào chị ạ. K110TEF váy bé gái có giá 269K. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,6
Dạ vì số lượng khẩu trang ra cửa hàng nhiều đợt vì vậy chị vui lòng lần sau ghé nhận giúp em ạ,2
dạ em chào chị ạ. Sản phẩm này bên em chỉ sale trên Shopee thôi nha chị. Chị ghé kênh Shopee của bên em để xem hàng nha. bit.ly/shopeekscloset,9
Dạ chị đặt sản phẩm gì ạ,2
Chào Phạm Hồng! Chúng tôi có thể giúp gì cho bạn?,4
Dạ. hic tại em thấy chị cmt vào ảnh áo đó nên em trả lời theo ảnh ạ. Chị cho em xin hình ảnh sản phẩm em hỗ trợ chị nha,0
"đây là bảng size bên em , 9y từ 29- 33kg",9
"Dạ bên em có dải size 2,4,6,8,10.Nếu bé mặc size 2 sẽ hơi chật 1 chút,size 4t thì sẽ hơi dài ạ",3
� BÙNG NỔ ƯU ĐÃI - CÓ 1 KHÔNG 2�,0
vâng đúng rồi c ạ,9
Em gửi chị các mẫu bên em còn size của bé ạ,6
Chị đặt mẫu nào ạ?,2
Chào Tịnh! Chúng tôi có thể giúp gì cho bạn?,0
"K's Closet chào chị ạ. Sản phẩm T255TES-FK1DADEN ÁO POLO BÉ TRAI có giá 279,000đ sale 30% còn 195,300đ. Sản phẩm T235TES-FT2CDXAN - QUẦN SOOC BÉ TRAI có giá  279,000đ   sale 30% còn 195,300đ. Bên em có size cho bé từ 10-14 tuổi (33-52kg). .Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",0
Quảng Trị còn size của bé ạ. Chị muốn có nhu cầu mua online hay ghé cửa hàng em hỗ trợ chị ạ,0
Dạ bé gái bên em không có polo chị ạ,2
"Dạ,mẫu đó bên em có size cho các bé từ 10-14t thôi ạ",5
Bên em không có cửa hàng nào còn đủ 3 sp ạ,0
"Hiện tại shop có chương trình ""Mua 1 tặng 1"" ạ",0
"Phía cửa hàng sẽ gọi báo giá và ship đến chị, chị để ý điện thoại giúp em ạ",6
Dạ size lơn nhất cho bạn 43kg chị ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,9
Mẫu áo số 7 shop có size cho bé dưới 17kg thôi ạ,9
Chúc mẹ Dinh Hong  - những người phụ nữ tuyệt vời những điều tươi đẹp nhất!,2
"Dạ bé mặc được size 8 bên em chị ạ. Láng, Nguyễn Trãi, Từ Sơn còn size của bé ạ.",5
Dạ bé mặc được size 12 bên em ạ. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,9
Bắc Ninh có hàng rồi ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,9
Dạ em báo các bạn luôn rồi ạ.,6
Mẫu này bên em có size 9 là size lớn nhất ạ. Lạc Long Quân còn size của bé. Chị muốn ghé trực tiếp cửa hàng mua đồ hay mua online em hỗ trợ chị ạ,8
Màu hồng size 9 còn tại Phố Huế nha chị. Phố Huế cũng có màu be size 9. Chị cho bé gái nhà mình mặc màu hồng. Bé trai mặc màu be cũng đẹp chị ạ,4
Dạ chị đợi em chút bên em chụp ảnh hỗ trợ chị ạ,6
Dạ em cảm ơn anh ạ. Bên em sẽ báo các bạn chuẩn bị đơn hàng cho anh ạ,8
vâng ạ đấy à quần bé gái ạ,3
"bộ này thì lại còn size 6t thôi c ạ , e sợ hơi rộng đó ạ",6
Áo rằn ri mã K141NIF sau sale còn 200 000đ chị nhé!,3
"K's Closet chào chị ạ. Sản phẩm K116NIS-FT2CDDEN - QUẦN SÓC KAKI BG có giá 239000đ sale		50%	 còn 119,500đ. Bên em có size cho bé 3-9 tuổi. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
"Size 6: Còn ở Buôn Ma Thuột, Mỗ Lao, LÁng ạ.",2
em gửi chị hệ thống cửa hàng tại hà nội ạ,0
Dạ shop có size 1 tuổi ạ,8
"áo hồng bên em có giá là 139.000 còn váy là 469,000 cả hai mẫu đang được sale 50% c nha",4
Dạ bên em không có mất rồi ạ,9
Dạ cái đấy bên em chưa biết được ạ,1
Dạ các bạn chốt cho chị rồi đó ạ.,5
"tại trong ngày nên nó ko ghi giờ giao chính xác ạ ,chỉ ghi 4-5h ạ",2
"Em note giao giờ hành chính cho chị, khoảng nay hoặc mai chị nhận được hàng chị ạ",9
"Từ khoảng 8,5kg đến 10kg chị nhé",1
Bé 28kg mặc size 8 cho thoải mái nha chị,9
Nguyễn Tố Nga đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,9
"Khẩu trang vải kháng khuẩn bên em có 3 size: S (1-4 tuổi), M (4-10 tuổi). L (trên 10 tuổi và người lớn) ạ.",9
Chúc mẹ Hoàng Tuyết Khanh  - những người phụ nữ tuyệt vời những điều tươi đẹp nhất!,2
Nguyễn Dương đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,3
c ơi,9
chị cho em xin địa chỉ chính xác để em check phí ship và báo chị nhé ạ,0
Mập Xinh đã trả lời một quảng cáo.,9
Khẩu trang bên em đang trong quá trình hoàn thiện. Bên em sẽ có thông báo chính thức trên fanpage K's Closet khi khẩu trang có mặt ngoài cửa hàng ạ. Chị nhớ theo dõi fanpage để cập nhật thời gian qua cửa hàng nhận khẩu trang miễn phí cho bé nha <3,4
"c cho e xin tên , sđt, địa chỉ để e check phí ship cho mình ạ",3
Dạ 2 mẫu này bên em hết size của bé rồi ạ.,8
Bích Vân đã trả lời một quảng cáo.,5
Chị đã đăng ký nhận quà chưa ạ?,0
Chị vui lòng liên hệ hotline của cửa hàng để hỗ trợ nha ,9
Áo khoác bên em chưa có chị ạ. Hiện tại chỉ có áo mỏng cho bé măc thu thôi ạ,5
dạ em gửi mẫu chị tham khảo ạ,5
Dạ đơn hàng của chị gồm 2 áo đồng phục là 598.000 giảm còn 300.000 + 30.000 phí ship = tổng 330.000 ạ,4
dạ.c hỏi a nhà c xong báo lại cho e c nhé,2
K's Closet chào chị ạ.Sản phẩm K213EIF-FK3JATAN03 BỘ HOODIE MŨ IN HÌNH có giá 399000đ sale còn 199.500đ.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,1
"Dạ mong chị thông cảm ạ. Bên em không hỗ trợ chị ạ, chị có thể ghé cửa hàng gần nhất đổi sang mẫu khác giúp em ạ.",1
Giang Nguyễn đã trả lời một quảng cáo.,8
Bộ bé gái B584NIS bên em có size lớn nhất cho bé 20kg thôi chị ạ,4
Hình 1: Áo dài nhung đỏ bé gái thêu hình tròn trước ngực K368NIF-LT1FXDOO size 1-4 tuổi có giá 559.000đ; size 5-9 tuổi có giá 579.000đ; size 10-14 tuổi có giá 599.000đ. Chân váy tutu K396NIF-LT5BQ màu trắng kem size 1-4 có giá 219.000đ; size 5-9y có giá 239.000đ; size 10-14y có giá 259.00đ.,1
"Dạ,sản phẩm T084EIS-LT4D0DEN10	T084EIS-VÁY DẠ TIỆC có giá	529.000đ	sale 50% còn	264.500đ.Chị cho em xin chiều cao cân nặng em check size cho chị ạ",3
Nguyễn Phương đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,4
Doãn Huyền đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,4
K's Closet chào chị ạ. Sản phẩm B243TES-DK3CBDEN03 BỘ SÁT NÁCH BÉ TRAI có giá 199.000đ sale 20% còn 159.200đ. Bên em có size cho bé từ 1 đến 6 Tuổi ạ. Em mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,6
Dạ bên em vẫn còn sale 50% đó ạ,6
Tổng đơn hàng của c lag 269.000đ + 30.000đ phí ship ạ,3
Mai Hương đã trả lời một quảng cáo.,3
dạ bộ này bên em có giá là 329.000 bên em chỉ có màu xanh còn size cho bé thôi c nha,0
vâng e lấy sz9 cho bạn rồi chị,7
Dạ vâng ạ. Phí ship khoảng 30-35k chị ạ. Áo dài bên em không sale chị ạ,5
"bên em cs ship cod, c muốn mua online ko ạ",8
Dạ tiếc quá ạ. Bên em không có áo màu xanh lá ạ,5
Chị đang ở gần địa điểm nào để bên em hỗ trợ chị mua hàng ạ,2
Dạ hàng còn tại cơ sở Nguyễn Trãi và Từ Sơn chị ạ,2
KiềuAnh Vũ đã trả lời một quảng cáo.,5
Chị hỏi bộ áo đen chân váy cam đúng không ạ?,4
"Dạ,bé nhà mình là bé trai hay bé gái ạ",4
Dạ không ạ. Sản phẩm có áo gile và quần thôi chị ạ,2
Đơn hàng của chị hết 224.500 + 25.000 ship = 249.500 ạ,2
"Dạ mẫu đó bên em có size lớn nhất cho bạn 4t thôi ạ,không có size bé nhà mình mất rồi ạ",4
Dạ bé mặc size 7t bên em ạ,5
Dạ chị tham khảo giúp em với ạ,1
Sản phẩm có size dành cho bé 03-09 tuổi nha chị,4
Lan Mai đã trả lời một quảng cáo.,9
Phạm Minh đã trả lời một quảng cáo.,6
đúng ạ,4
- 169 Thái Hà- ĐT: 0376.74.88.28 Chị liên hệ check hàng trước khi ghé giúp em ạ,3
Dạ chị có thể đặt trên trang shopee sẽ được ship hàng đến địa chỉ nhà chị ạ,1
Dạ sản phẩm K284NIF-FT2BEXDA06 QUẦN DENIM BÉ GÁI có giá 329000đ sale	50% còn	164.500đ.bên em có size cho bé từ 3 đến 9t.Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ,7
Đúng rồi chị nhé. Sản phẩm được tặng là sản phẩm có giá trị thấp hơn hoặc bằng chị nhé,9
"K's Closet chào chị ạ. Sản phẩm K227TES-BK1AATRA08 - ÁO PHÔNG BÉ TRAI có giá 139,000đ. Sản phẩm K015TES-FT2BDDAM - QUẦN SOOC JEAN BÉ TRAI có giá 279,000đ. Em mời chị truy cập shopee xem và sắm đồ cho bé ạ",5
quần chip bé gái chị lấy màu gì ạ,4
"Dạ shop có chương trình ""Mua 1 tặng 1"" chị nhé",8
Dạ tiếc quá bên em không có màu tím chị ạ,1
Dạ mẫu gile bên em còn size 9 tại ninh bình ạ.,4
Vì mẫu chị hỏi thuộc hàng phụ kiện nên phiền chị liên hệ trực tiếp với cửa hàng tại Nguyễn Văn Lộc giúp em nha,2
"Dạ mẫu bé gái bên em còn chân váy hình số 2, áo hình số 3, Bộ bé gái số 5 tại Nguyễn Văn Cừ ạ. Bé trai bên em hết size của bé rồi ạ",4
Hường Nguyễn đã trả lời một quảng cáo.,0
Dạ khi mua set bên em có kèm khẩu trang ạ,8
Yen Hoang Ngoc đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,5
Dạ shop có size 2-3 ạ,4
Dạ bé gái bên em chỉ có tại shopee thôi chị ạ,0
Dạ về vấn đề này chị liên hệ trực tiếp tới hotline cửa hàng giúp em nha,2
Hà Vũ đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,6
Điệp Vũ đã trả lời một quảng cáo.,9
Dạ quần bên em không co giãn ạ,2
Dạ vậy chị có muốn mua online không ạ,0
Dạ chương trình đăng kí thử mẫu đã kết thúc rồi ạ. Hẹn gặp lại mẹ và bé tại chương trình khác của K's Closet ạ,2
"Dạ Đội Cấn, Yên Phụ, Nguyễn Trãi, TTTM The Garden còn size 8 chị nhé",4
Nguyen Ngoc Hieu đã trả lời một tin nhắn được tài trợ. Đây là tin nhắn được tài trợ cuối cùng mà bạn gửi.,1
Dạ bé mặc được size 18M bên em ạ. Chị muốn mua online hay ghé cửa hàng em hỗ trợ chị ạ,6
"K's Closet chào chị ạ.Sản phẩm K078TES-FT5BKDAM- CHÂN VÁY DENIM có giá 269,000đ sale 50% còn 134.500đ  . Bên em có size cho bé 3-9 tuổi. Mời chị ghé cửa hàng xem và sắm đồ cho bé ạ",4
Hien Anh đã trả lời một quảng cáo.,9
